question,answer
5yqhi 697 85 yqw g33h r7hl 297oe 697 e9 q f8e39 qg975 4qe89qd58f856 9r gqhqhqw 0o3qw3*?,i do not think bananas are radioactive.
when are you most likely to use caps?,probably for acronyms.
Would you fight the moon given the opportunity?,no.
are your answers to these questions always the right answer?,no.
how many times a day do you randomly start thinking about your breathing and cant stop concentrating on it and it gets really annoying cause you start holding your breath or breathing really weird and even try breathing normally but it doesn't feel right so you go to thinking about dumb songs you hate having stuck in your head only to go back to your breathing and start the cycle all over again?,0.
can you solve a rubik's cube?,i don't know.
are you a boobs or a butt guy bill?,
what swear word do you say the most?,but.
have u ever experienced any symptoms of mental illness and if so what?,thinking.
Are there any non-human musicians I should know about?,not at this time.
OoOoOoOoOo you reversed the colors in hi youtube on your page. cute #trending #deathisinevitable #individualitysalie?,no i didn't.
"What should you do when you've been working on something for a long time, and then one day you don't feel passionate about it anymore? (Music, fiction, etc)?","figure out what you want to do, and try to understand why you wanted to do the other thing before, and try to reach an agreement between those 2 positions."
how did you deal with high school?,think about stuff.
would you say this is more of a documentary than a video?,sounds like a question to me.
does bad music exist?,all music is bad.
do you earn youtube money with 6 seconds video?,no.
Are you indifferent towards food?,no.
do you find hot glue enjoyable to use?,i have never used it.
Is it ok to enjoy one's own company?,i'm not sure.
Do you ever fill your mouth with fridge magnets and then cover your face with duct tape?,no.
When is the last time you used a land line telephone?,"probably last century, or maybe the one before."
"In ur experience, whats the best strategy to play monopoly with?","my strategy has been not to play monopoly, although i am not sure how that would fare against other monopoly strategies."
is it wrong to find painted representations of Jesus attractive?,no.
DO YOU EVER JUST WWWWWWWWWWWWWWWWWWWWWWWW?,yes.
Is your name mike or bill?,yes.
Will you discuss tectonic plates in your upcoming video? :3?,"yes, for 1 second."
"if you had to be a mythological creature what would you be (included but not limited to cats, dogs, the loch ness monster or the goonies)?",a person.
what is it like to have knees?,it's pretty cool.
How long can you hold your breath?,longer than i want to.
how do I know what I want to do?,it should give you the special feeling.
whyyyyyyy?,
what to do if my dog keep bite me? sorry for bad england?,"run away, or learn to enjoy it."
I have football practice in 30 minutes. I don't know how to play football. pls help?,looks like you are on the right track.
Do you enjoy lobster fishing?,no.
is it ok to not want to be in a romantic relationship?,sure.
what is the best way to let someone know you hate them without telling them you hate them?,"perhaps tell a messanger, who will then deliver the message to the person."
how to get someone's attention?,use fire.
is it okay that i don't want to be around people sometimes?,sure.
how do I tell if I've reached a new low or a new high?,check which way is up.
Peanut Butter or Jelly?,
why can't i sleep?,it is the wrong time.
Thoughts on spam? (the food)?,.
disappointing?,
is 'sometimes i whatever' indicative of your creative process's typical ongoings?,in some ways.
have u ever wanted to be painted green and spanked like a disobedient avocado because i have?,no.
do you ever get the feeling that time is moving very fast and that there's nothing you can do to stop it?,sure.
Why do humans purposely hurt each other when almost no other animal does?,"actually most animals do it, and they all do it for survival. humans just have a slightly more complicated idea of what survival is."
where are the aliens?,"on someone else's planet, other than theirs."
how will the two koreas reunite as one nation?,very carefully i hope.
how to deal with feeling bad when you know you have disappointed someone else?,let someone disappoint you.
how do I deal with emotional devastation at the hands of the person I care most about and also how are you today?,move on.
how do i get high without using drugs?,marry into a higher social class.
do you like to calculate taxes?,no.
are electrons affected by gravity?,barely.
do you think that you are crazy or creative? or maybe both?,"i think both are good qualities, and i try to have them."
do you like to draw?,sure.
How do you not let perfectionism keep you from finishing something?,want to have the thing actually exist.
whats your least favorite kind of question to answer?,questions that specifically request a negative answer.
Pepsi or Cocaine?,no thanks.
What does ad lib in music mean?,"improvise, i guess."
have you ever capitalized a letter?,have you.
日本語を話せますか。?,no.
Is it okay that I still don't know what to do with my life at my age(22)??? :(?,sure.
"would you rather be abducted by aliens, or not abducted by aliens?",perhaps we could abduct each other.
is socialism cool?,sure.
how do you feel about pigeons?,"i actually don't have particularly strong feelings about pigeons. pigeons do not make up a significant portion of the feelings i feel, on a day to day basis."
"As a historian, bias is a very important aspect to consider. In a more serious way, how do you deal with bias in your videos? Especially considering your large following and the implications that may have. :)?","my main strategy is to worry about people from both sides thinking i am biased, both ways. this is difficult to cope with because i am extremely biased, both ways."
What's the definition of music to you?,i don't have one.
WHAT DO YOU DO ABOUT THE CRINGE?,try to understand it.
How's your eggo these dasys?,ok i think.
should a best friend still be your best friend even when they destroy you emotionally?,maybe not.
Factor this equation:1?,i don't think that's an equation.
what would happen if Pinocchio said my nose will grow now?,anything the writers and illustrators decide.
what's the meaning of life?,
is it reasonable to get frustrated at people who walk slowly and block the sidewalk or halls?,sure.
what's 2 + 1?,3.
any tips for fixing a sleep schedule?,no.
what is the oldest thing you can think of?,cosmic background radiation.
coke or pepsi?,
i have a question for you?,well you came to the right place.
insert question about next long video here?,
what?,
how far away are the stars?,they are all different distances away.
where do you go when you die?,i don't die very often.
When is the next Video? :O?,
do you think the same lowercase why question is one person?,"no, but i think the one immediately after this (at 2pm) might be you."
"since you're a musician, do you notice major differences between, say, the pop music of the 80s and the pop music of today? i feel a little bit like it's that the vocals went from being just a part of the music like any other, to being the front and center only important part and the personality of the singer being what they sell their music on. but that's just my amateur i don't know anything about music observation?","the vocal has always been the most important part of most music, especially popular music."
do you ever do pitch class analysis (like [0126] Schoenbergian chords for all my nerds out there) when composing?,sorry i don't know those terms.
have you have fallen asleep while in the middle of working?,sure.
tips for boosting self esteem?,be a better person.
"i know you're not a pet person, but do you like animals in general?","yes, i am one."
How are you?,
does FMaj15 sound dissonant? (it contains E F F# G)?,"Fmaj15 is not accepted as a legitimate name for a chord anywhere i have ever been. if it were, you would need to call it #15 in order for it to include F#. and yes, a chord which includes e, f, f#, and g would be dissonant as hell and would really only belong in a horror situation."
Should I be scared of school?,no. annoyed maybe.
You answered people's question ' when's the next 5 min video?' with 'now' - but there's no new video on YT or your site.. Are you Trolling or are you just saying you're Working on the next 5+ min video now? Hope you're well?,"i have been working on it for the last 2 and a half months, and it will be much, much longer than 5 minutes."
How do I get on your website?,go to www.billwurtz.com.
In the video for you're free to do whatever you want to how long did adding the little year countdown https://youtu.be/Th56Xg6OE5s?t=50 take? Like did you automate it or did you manually type in each year?,"i don't remember. i have used year counters for multiple videos. it is probably composite screenshots, alligned and timescaled by 10, so that way i wouldn't have had to screenshot every year."
Do you focus on some instruments because you enjoy them more or because you're trying to appeal to a certain audience with that instrument? (this question also shows that you should always respond to favourite questions but it's ok to hide your opinions while you wait on a certain life project.)?,"i have only 2 rules -- use the thing(s) most conveniently available, and within that realm use as wide a variety as possible."
"do you think as a society we neee to form a new system that is not capitalist, socialist, or communist in order to make things better for everyone?",who exactly would have that power.
what if no was no in spanish?,i think it is.
Are you worried about robots replacing your content?,no.
what's your power animal?,i don't own any power animals.
"Can a chord contain 3 consecutive notes (say, C C# D) but voiced in a way that would make a proper chord and won't sound dissonant? For example, 2 consecutive notes like C# and D can be turned into a DMaj7 chord. (Extra notes may be added)?","no. once you have 3 in a row you are decisively outside of 'nice town,' no matter how you slice it. whereas, like you said, just 2 can easily be made 'nice' if they are surrounded with nice harmony."
Is it ok for me to talk to myself out loud?,sure.
How important is self-love?,about 8.5 out of 10.
do you have conversations with your reflection?,no.
When will you post another video?? It as been 1 month your project is taking a long time 😓?,i agree.
"With the new video are you past the point where you could say, this is not going to be good and just stop?",yes.
is America's justice system corrupted?,not as much as most countries.
would you ever buy a dog? thanks?,
what is your method of stopping yourself from being frightened of other people's opinions of your personality (assuming you have a 'method')?,full scale psychological warfare.
is it alright not to have an opinion on some things?,.
